run,current,etotnorm_peak,etottracknorm_peak
1514,5,0.899172,0.909377
1515,10,0.900105,0.909524
1516,15,0.901064,0.909671
1517,25,0.902648,0.911702
1518,40,0.901471,0.912924
1519,25,0.907387,0.91985
1520,18,0.910595,0.92265
1521,10,0.91623,0.927031
1522,5,0.915794,0.926921
1523,33.5,0.922422,0.931254
1524,33.5,0.922978,0.931853
1525,38.5,0.922452,0.931574
1526,24,0.922521,0.93123
1528,14,0.92193,0.9307
1529,-1,0.922533,0.931144
1530,4.8,0.922151,0.931929
6845,5.1,0.985566,0.985559
6846,20.5,0.986297,0.985935
6847,15.3,0.986367,0.986233
6848,10.5,0.985221,0.985304
6849,3,0.986284,0.986086
6850,5,0.979176,0.987547
6851,20,0.978304,0.986698
6852,15,0.978753,0.987112
6853,10,0.97854,0.987161
6854,3,0.978657,0.987354
7003,39.5,0.990728,1.01055
7004,29.5,0.990304,1.01045
7005,19.6,0.989791,1.01006
7006,10,0.989729,1.00996
7007,5,0.989654,1.00944
