run,current,t_edtm_accepted,t_hTRIG4_all_accepted,t_hTRIG4_phy_accepted,trig_accp_total,scaler_hTRIG4_total,scaler_edtm_total,beam_on_percent_edtm,beam_on_percent_trig_accp,TLT_livetime_edtm,CLTA_livetime_tsh,CLTA_livetime_tdc,CLTP_livetime_tdc
1523,33.5,5447,180135,174688,176861.0,1607912.0,46147.0,0.9517003856544783,0.9903906998101659,1.0110128070283981,0.9899478329659832,0.9985846603500305,0.9970029646687847
1524,33.5,13359,156607,143248,128991.0,651280.0,18721.0,0.28214673257776707,0.8309669522643819,1.0066765131420303,0.9902883552389141,0.9990729140559211,0.9408952680933175
1525,38.5,5843,187356,181513,156769.0,2264860.0,56984.0,0.8311794393068642,0.8507985954705554,0.42613553487557976,0.34608982453661596,0.35190303518314897,0.34972753329364265
1526,24,6367,144809,138442,138238.0,1659413.0,65953.0,0.942737889335182,0.9641103609886738,0.4550522448862905,0.4165268079736629,0.42066639608225576,0.41881618175540636
1528,14,13649,153366,139717,132149.0,810056.0,52457.0,0.7041113542100106,0.8709828372571248,0.5496167836673334,0.4894069052016157,0.4947034050193179,0.4818820077892937
1530,4.8,40293,190627,150334,172667.0,457404.0,79486.0,0.8607318050396873,0.9156604143797297,0.4363216996762212,0.3774934193841768,0.3816092509290796,0.3642453990954712
6845,5.1,24612,132155,107543,128262.0,128276.0,22435.0,0.9121401853959994,0.9705495104196619,1.0006505122784193,0.9998908603324083,0.9998984264360474,0.9861566500605786
6846,20.5,23349,484298,460949,484297.0,484575.0,23303.0,1.0,1.0,1.0019739947646227,0.9994263013981324,0.9994283650621679,0.9992997623961567
6847,15.3,24330,327025,302695,316269.0,316493.0,20258.0,0.8335253456221198,0.9671125055041832,1.0010697827518105,0.9992922434303444,0.9992952991456542,0.9882023388647146
6848,10.5,24850,215976,191126,209844.0,209875.0,19019.0,0.7659994361432196,0.9716124551452714,1.0008457851705668,0.9998522930315664,0.999856922513187,0.9729869750078338
6849,3,34561,95241,60680,83322.0,83328.0,22996.0,0.6655475804584394,0.8748635027299454,1.0002604769622598,0.9999279953917051,0.999938494425676,0.8799097882658139
7003,39.5,13827,211969,198142,211968.0,212048.0,13795.0,1.0,1.0,1.0023196810438564,0.9996227269297517,0.9996274428431299,0.9994401093552179
7004,29.5,19205,207861,188656,196826.0,196882.0,16762.0,0.873885615974141,0.9469161935918406,1.0012512382044731,0.9997155656687762,0.9997203752308162,0.991791147114492
7005,19.6,29563,211677,182114,199029.0,199074.0,24366.0,0.824903514117408,0.9402530282129292,1.000846367391157,0.9997739534042618,0.9997786765375096,0.980111042310423
7006,10,53562,221432,167870,208538.0,208565.0,46283.0,0.8644080458696748,0.9417741869927878,1.000354854976374,0.9998705439551219,0.9998750594499892,0.9742031326362708
7007,5,77692,207912,130220,202692.0,202710.0,73102.0,0.9411386049385895,0.9748979130493336,1.0002317377758323,0.9999112031966849,0.9999160125199202,0.9795013134782129
1514,5,53860,1023966,970106,967135.0,1171547.0,54312.0,0.8900396578283242,0.975291361657542,0.882632493199174,0.825519590763324,0.8524328895307032,0.846854960408644
1515,10,22938,912408,889470,877594.0,2867701.0,68300.0,0.9559132260321903,0.9897271126859839,0.9631070678796361,0.9180810691212229,0.9446957009446869,0.9434152966160998
1516,15,13750,751598,737848,697770.0,3655941.0,58976.0,0.858907142024933,0.9548369263274282,1.0012524758243038,0.9542960348648953,0.9814894772014132,0.97933190400357
1517,25,10322,811950,801628,311961.0,2916892.0,28130.0,0.2984298748143433,0.3938593190937073,0.9855506047103756,0.9625481505657392,0.986716912125379,0.983659409884945
6850,5,24326,170850,146524,170849.0,170875.0,24308.0,1.0,1.0,1.0007404969557347,0.9998478419897586,0.9998536942209217,0.9997066188159681
6851,20,26758,558427,531669,517422.0,518964.0,21687.0,0.8131303663154738,0.9298073795605616,1.0032619699298864,0.997028695632067,1.000511683943136,0.9941134612772845
6852,15,24422,440519,416097,440518.0,440746.0,24381.0,1.0,1.0,1.0016816373405522,0.9994826952485105,0.9994849641289995,0.9993563339858057
6853,10,24784,315564,290780,315563.0,315653.0,24762.0,1.0,1.0,1.0008884581213149,0.9997148767792481,0.9997180448150342,0.9996184137701063
6854,3,24368,118049,93681,118048.0,118056.0,24362.0,1.0,1.0,1.0002462851982596,0.9999322355492308,0.9999407061055771,0.9998612504536043
1518,40,1549,521346,519797,37414.0,2455764.0,6070.0,0.07061177483335854,0.07278365276124223,1.1712597280225214,0.9902865259039549,1.0043535555982042,1.0038507189190988
1519,25,2114,485796,483682,218926.0,7327714.0,29188.0,0.4513794383273537,0.45922237231819973,1.078838302610417,0.9859224855118527,1.0046676115127913,1.004296025127701
1520,18,1758,289841,288083,266261.0,11841187.0,65708.0,0.912079064989867,0.9291956028616297,0.8052802531856418,0.7420381926237631,0.7505604319953381,0.7501707638689828
1521,10,3540,328346,324806,318477.0,5583817.0,55509.0,0.9397155916708989,0.9841960993970784,1.0187912646013204,0.9696071701490216,0.9838550388909169,0.9830200434623119
1522,5,7154,345025,337871,337320.0,3054506.0,60028.0,0.9521452930446507,0.9905124342609477,1.0212705210563884,0.9939021236167158,1.006959545562507,1.0058477103807828
